title,year,All Intl,Total Gross,USA,"Europe, Middle East, and Africa",Latin America,Asia Pacific,China
The Seduction of Joe Tynan,1979,0,19595168,19595168,no data,no data,no data,no data
Monty Python's Life of Brian,1979,0,19398164,19398164,no data,no data,no data,no data
One Hundred and One Dalmatians,1979,0,19000000,19000000,no data,no data,no data,no data
Prophecy,1979,0,18389402,18389402,no data,no data,no data,no data
Breaking Away,1979,0,16424918,16424918,no data,no data,no data,no data
Hair,1979,0,15284643,15284643,no data,no data,no data,no data
More American Graffiti,1979,0,15014674,15014674,no data,no data,no data,no data
Roller Boogie,1979,0,13253715,13253715,no data,no data,no data,no data
The Great Train Robbery,1979,0,13027857,13027857,no data,no data,no data,no data
The Concorde... Airport '79,1979,0,13015688,13015688,no data,no data,no data,no data
Phantasm,1979,0,11988469,11988469,no data,no data,no data,no data
The Promise,1979,0,11606005,11606005,no data,no data,no data,no data
The Legacy,1979,0,11364985,11364985,no data,no data,no data,no data
Fiddler on the Roof,1979,0,10404330,10404330,no data,no data,no data,no data
The Onion Field,1979,0,9890597,9890597,no data,no data,no data,no data
The Frisco Kid,1979,0,9346177,9346177,no data,no data,no data,no data
Meteor,1979,0,8400000,8400000,no data,no data,no data,no data
The Fish That Saved Pittsburgh,1979,0,8281246,8281246,no data,no data,no data,no data
Bloodline,1979,0,8218695,8218695,no data,no data,no data,no data
The Prisoner of Zenda,1979,0,7650600,7650600,no data,no data,no data,no data
Agatha,1979,0,7500000,7500000,no data,no data,no data,no data
Americathon,1979,0,6171763,6171763,no data,no data,no data,no data
Running,1979,0,6012556,6012556,no data,no data,no data,no data
Cuba,1979,0,5610280,5610280,no data,no data,no data,no data
Butch and Sundance: The Early Days,1979,0,5136913,5136913,no data,no data,no data,no data
Players,1979,0,4896094,4896094,no data,no data,no data,no data
The Great Santini,1979,0,4702575,4702575,no data,no data,no data,no data
Yanks,1979,0,3931010,3931010,no data,no data,no data,no data
Lost and Found,1979,0,3223197,3223197,no data,no data,no data,no data
