title,year,All Intl,Total Gross,USA,"Europe, Middle East, and Africa",Latin America,Asia Pacific,China
Sex and the City,2008,266118063,418765321,152647258,184057961,14174009,67886093,no data
Twilight,2008,214417861,407187715,192769854,123236326,46755690,44425845,no data
The Mummy: Tomb of the Dragon Emperor,2008,300958054,403449830,102491776,115823396,42972420,124505756,17450787
Slumdog Millionaire,2008,237090185,378410113,141319928,162698326,20102169,52009622,2280068
Wanted,2008,207954512,342463063,134508551,85543649,16636010,95027794,10747059
The Curious Case of Benjamin Button,2008,208293460,335802786,127509326,122771085,23908571,61613804,no data
Bolt,2008,195926415,309979994,114053579,115582838,24482685,48744833,6578259
Horton Hears a Who!,2008,144043360,298572799,154529439,93300658,21413312,29329390,no data
Gran Torino,2008,121862926,269958228,148095302,91685698,6245364,23931864,no data
"10,000 BC",2008,175000000,269784201,94784201,77806354,34455271,49447252,10851097
The Incredible Hulk,2008,129964083,264770996,134806913,60770984,24055110,35801738,9336251
Marley & Me,2008,112589342,255743093,143153751,65301039,13490146,23459339,no data
High School Musical 3,2008,162349761,252909177,90559416,123302370,17110188,21937141,no data
Welcome to the Sticks,2008,245144417,245144417,0,243842629,185022,1116766,no data
Journey to the Center of the Earth,2008,142528318,244232688,101704370,58183250,31984039,42437643,9923386
The Day the Earth Stood Still,2008,153726881,233093859,79366978,67202113,25774127,60670996,no data
Get Smart,2008,100366245,230685453,130319208,40461954,25606478,29036256,no data
Taken,2008,81836771,226837760,145000989,39197044,11261117,29343371,2035239
Jumper,2008,144959985,225132113,80172128,70098183,16585053,58276749,no data
Yes Man,2008,125550661,223241637,97690976,73159002,18455639,33936020,no data
What Happens in Vegas,2008,139097916,219375562,80277646,85584342,17590203,35196209,no data
Bedtime Stories,2008,102772889,212874864,110101975,46893069,23719791,32160029,no data
Australia,2008,162233509,211787511,49554002,104628330,9557966,45644228,2402985
You Don't Mess with the Zohan,2008,104294563,204313400,100018837,67623755,15292704,21378104,no data
Ponyo,2008,187461411,202551810,15090399,10560930,356678,176543803,no data
Valkyrie,2008,118467684,201545517,83077833,63278998,13114747,33699072,8374867
Tropic Thunder,2008,85187498,195702811,110515313,56442983,7238721,21505794,no data
Eagle Eye,2008,77326640,178767383,101440743,29257449,5948488,42120703,no data
Cloverfield,2008,92345747,172394180,80048433,50879298,9537490,31928959,no data
Seven Pounds,2008,99797105,169748929,69951824,69586444,12595553,17615108,no data
Hellboy II: The Golden Army,2008,92332740,168319243,75986503,47069745,18659268,24236852,2366875
The Spiderwick Chronicles,2008,92975274,164170327,71195053,51348249,12742203,28756210,128612
Four Christmases,2008,43966681,164112721,120146040,28552602,6130420,9283659,no data
Burn After Reading,2008,103373555,163728902,60355347,78237291,5865819,19270445,no data
The Happening,2008,98896925,163403799,64506874,53717940,13178810,25105601,no data
27 Dresses,2008,85846697,162655351,76808654,50440347,7948584,26746112,711654
21,2008,78649005,159808370,81159365,51270008,9566457,17812540,no data
Vantage Point,2008,79773576,152039882,72266306,41906270,8999042,28868264,no data
Step Up 2: The Streets,2008,92798917,150816700,58017783,65297239,no data,24291361,581378
Beverly Hills Chihuahua,2008,54778086,149292488,94514402,30924525,15528015,8325546,no data
Red Cliff,2008,129081386,129708433,627047,8598557,no data,73783862,46698967
The Forbidden Kingdom,2008,76704712,128779982,52075270,14135573,4079804,31589779,26899556
Step Brothers,2008,27638849,128107642,100468793,16509040,1670038,9346981,no data
Body of Lies,2008,76506231,115900897,39394666,45272746,6724336,23705538,no data
Saw V,2008,57117290,113864059,56746769,39169720,8559885,9387685,no data
Changeling,2008,77658435,113398237,35739802,52241353,5165428,20251654,no data
Rambo,2008,70490185,113244290,42754105,43781803,5427691,20304146,no data
Fool's Gold,2008,41000000,111231041,70231041,22568093,3208041,11460763,1880542
Transporter 3,2008,77264487,108979549,31715062,39588516,2750053,26369158,8556760
The Reader,2008,74708079,108902486,34194407,57661388,3943190,13103501,no data
Made of Honor,2008,60394938,106407672,46012734,33891132,14161580,12342226,no data
Forgetting Sarah Marshall,2008,42660794,105833257,63172463,31722383,2108220,8830191,no data
Pineapple Express,2008,14283463,101624843,87341380,8741509,256080,5201487,no data
Nim's Island,2008,52097803,100104565,48006762,30122670,4886110,17089023,no data
Vicky Cristina Barcelona,2008,73192591,96409300,23216709,60554981,5539396,7098214,no data
Speed Racer,2008,50000000,93945766,43945766,9480895,18995345,16887555,3184713
Role Models,2008,25355149,92649419,67294270,19006474,801427,5547248,no data
Max Payne,2008,46377537,87066930,40689393,27635421,4615467,14126649,no data
The Tale of Despereaux,2008,36080135,86957280,50877145,22649999,5257498,8172638,no data
Meet the Spartans,2008,47663917,85897593,38233676,31918838,7304104,8440975,no data
Nights in Rodanthe,2008,42524687,84375346,41850659,26102515,5602333,9321681,no data
The Strangers,2008,29812846,82410456,52597610,19458652,5588187,4766007,no data
Righteous Kill,2008,38379289,78460699,40081410,27775732,5130526,4420659,no data
The Other Boleyn Girl,2008,51384722,78199679,26814957,31702345,3482862,16199515,no data
Mirrors,2008,47403275,78094714,30691439,25963550,9165262,12274463,no data
Death Race,2008,39698303,76014335,36316032,19543569,3100263,17054471,no data
Revolutionary Road,2008,53069700,75981180,22911480,41088210,2879618,9101872,no data
Babylon A.D.,2008,49576628,72109200,22532572,28384392,7683351,12231755,1228608
Superhero Movie,2008,45690232,71571300,25881068,28568584,8111478,9010170,no data
Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,2008,5361185,70642966,65281781,2420831,1497997,1442357,no data
Departures,2008,68943919,70442129,1498210,2815104,725210,65403605,no data
The House Bunny,2008,22202307,70439696,48237389,12845366,3173013,6183928,no data
The X Files: I Want to Believe,2008,48380903,69363381,20982478,26394354,8077644,13908905,no data
Star Wars: The Clone Wars,2008,33121290,68282844,35161554,17141457,5755661,7850217,no data
Street Kings,2008,40057696,66476363,26418667,21514283,6250697,12292030,no data
Space Chimps,2008,34991725,65097693,30105968,26167629,2892663,5931433,no data
The Bank Job,2008,34762136,64822796,30060660,19372270,4621043,10768823,no data
Baby Mama,2008,3950501,64444713,60494212,1544871,139688,2265942,no data
Inkheart,2008,45499756,62803180,17303424,27402379,6845956,11251421,no data
The Eye,2008,26591623,58010320,31418697,16510822,5111445,4969356,no data
Prom Night,2008,13328526,57197876,43869350,6987467,2654877,3663894,no data
"Definitely, Maybe",2008,23748650,55990299,32241649,14079823,2740122,6928705,no data
Milk,2008,22748259,54589558,31841299,18015381,2148424,2584454,no data
Untraceable,2008,24245678,52933513,28687835,14842772,3405307,5997599,no data
Doubt,2008,18253514,51699984,33446470,12940261,2982583,2330670,no data
College Road Trip,2008,5939249,51549674,45610425,2153651,3434717,350881,no data
Meet Dave,2008,39536313,51339567,11803254,21195764,10631331,7709218,no data
Defiance,2008,22617938,51262751,28644813,15194696,1989368,5433874,no data
The Women,2008,23105471,50007546,26902075,17427506,1334106,4343859,no data
Drillbit Taylor,2008,17082221,49944325,32862104,6585485,5027090,5469646,no data
CJ7,2008,49322535,49529913,207378,2079,no data,23153653,26166803
The Hurt Locker,2008,32212961,49230772,17017811,9521894,4129250,16063592,no data
Shutter,2008,22626756,48555306,25928550,8417702,7827988,6381066,no data
One Missed Call,2008,18957710,45847751,26890041,7994786,6075546,3296669,no data
The Wrestler,2008,18496417,44734660,26238243,14165982,1482903,2847532,no data
Lakeview Terrace,2008,5391496,44655002,39263506,4235845,790386,148627,no data
The Sisterhood of the Traveling Pants 2,2008,262453,44352417,44089964,99357,no data,80810,no data
Joheunnom nabbeunnom isanghannom,2008,44132723,44261209,128486,902226,no data,36517713,no data
Semi-Pro,2008,10524804,44004502,33479698,5295707,181859,5047238,no data
"Welcome Home, Roscoe Jenkins",2008,1218901,43655418,42436517,1142270,76631,no data,no data
Harold & Kumar Escape from Guantanamo Bay,2008,5387160,43495888,38108728,3025482,406788,1954890,no data
The Duchess,2008,29494406,43343384,13848978,21997356,1583326,5913724,no data
Zack and Miri Make a Porno,2008,11324517,42782463,31457946,7554903,1103602,2666012,no data
Bangkok Dangerous,2008,27189257,42487390,15298133,14464081,4328626,8267849,no data
Meet the Browns,2008,0,41975388,41975388,no data,no data,no data,no data
Fly Me to the Moon 3D,2008,27904432,41721414,13816982,17653728,4720969,5445175,no data
Never Back Down,2008,16776509,41627431,24850922,10830796,693144,5252569,no data
My Best Friend's Girl,2008,22405437,41624687,19219250,13231330,4161130,5012977,no data
Quarantine,2008,9628095,41319906,31691811,4487327,2386754,2713646,no data
Leatherheads,2008,9945101,41319039,31373938,9365308,no data,579793,no data
The Love Guru,2008,8641763,40877556,32235793,5487100,no data,3154663,no data
The Boy in the Striped Pajamas,2008,31370407,40416563,9046156,25436824,2490381,3340697,no data
The Secret Life of Bees,2008,2182275,39952437,37770162,1287678,345923,548674,no data
The Spirit,2008,19358253,39164441,19806188,15556369,1157456,2644428,no data
First Sunday,2008,878442,38810311,37931869,688933,183869,5640,no data
Ghajini,2008,35885957,38316584,2430627,1162657,no data,34723300,no data
The Family That Preys,2008,0,37105289,37105289,no data,no data,no data,no data
Gomorrah,2008,33282383,34861529,1579146,32146310,634925,501148,no data
Disaster Movie,2008,20625923,34816824,14190901,13892535,3673873,2876477,no data
In Bruges,2008,26284925,34085749,7800824,21322125,954659,4008141,no data
Nick and Norah's Infinite Playlist,2008,2069338,33556631,31487293,1755965,224745,88628,no data
Fireproof,2008,16980,33473297,33456317,no data,no data,16980,no data
Last Chance Harvey,2008,17677924,32566966,14889042,12931688,1985705,2760531,no data
Pride and Glory,2008,15459836,31200557,15740721,12263420,2595311,601105,no data
Igor,2008,11365283,30893885,19528602,9288894,1364595,711794,no data
Be Kind Rewind,2008,19404242,30579406,11175164,16043871,801796,2558575,no data
Rab Ne Bana Di Jodi,2008,27835513,29914469,2078956,2542912,no data,25292511,no data
W.,2008,4026094,29560587,25534493,3640418,200312,185364,no data
The Class,2008,25536695,29303505,3766810,23547411,1521112,468172,no data
Singh Is King,2008,27010301,29169677,2159376,2606873,no data,22515758,no data
Appaloosa,2008,7500968,27712362,20211394,6804020,676380,20568,no data
Traitor,2008,4143633,27674464,23530831,2062136,1060978,1020519,no data
Frost/Nixon,2008,8804304,27426335,18622031,6668849,298876,1836579,no data
Ghost Town,2008,13722535,27090159,13367624,10854203,no data,2868332,no data
The Baader Meinhof Complex,2008,26461085,26937355,476270,26150043,81189,229853,no data
Jodhaa Akbar,2008,23449636,26890354,3440718,2151006,no data,21253366,no data
Mad Money,2008,5743320,26412163,20668843,2526032,2456821,760467,no data
RocknRolla,2008,20040237,25740863,5700626,14771071,847009,4422157,no data
Race,2008,23136245,24503269,1367024,1909405,no data,21226840,no data
Paris,2008,22318324,23328518,1010194,20528420,588971,1200933,no data
Under the Same Moon,2008,10722902,23313049,12590147,354288,10056192,312422,no data
The Ruins,2008,5385412,22818256,17432844,4114754,no data,1270658,no data
U2 3D,2008,12367501,22730842,10363341,4210984,1052060,1148728,no data
The Accidental Husband,2008,22707064,22707064,0,15901364,3865652,2933140,no data
Doomsday,2008,11463861,22472631,11008770,7616561,184371,3662929,no data
I've Loved You So Long,2008,19102871,22272176,3169305,15349646,683281,1917378,no data
Over Her Dead Body,2008,13894441,21458111,7563670,9040211,3326742,1527488,no data
Jaane Tu... Ya Jaane Na,2008,19248749,19852786,604037,305309,no data,18943440,no data
Blindness,2008,16493228,19844979,3351751,3668718,6306300,6518210,no data
How to Lose Friends & Alienate People,2008,16373257,19152009,2778752,10253004,536302,5583951,no data
Sex Drive,2008,10353451,18755936,8402485,7122972,772771,2457708,no data
Happy-Go-Lucky,2008,15184586,18696602,3512016,12808210,703757,1672619,no data
Easy Virtue,2008,15807009,18463793,2656784,11642662,426803,3715320,no data
Kabei: Our Mother,2008,18371548,18385964,14416,no data,no data,18371548,no data
The Visitor,2008,8770429,18197518,9427089,7088393,397218,1284818,no data
City of Ember,2008,10056677,17929684,7873007,7769159,98126,2189392,no data
Friendship,2008,16535610,17779520,1243910,1675546,no data,14860064,no data
Deception,2008,13174000,17772506,4598506,7132273,946911,5094816,no data
Reign of Government,2008,16713933,17722998,1009065,819353,no data,12333028,no data
Kit Kittredge: An American Girl,2008,0,17657973,17657973,no data,no data,no data,no data
The Oxford Murders,2008,17641824,17646627,4803,16791823,850001,no data,no data
Swing Vote,2008,1344446,17634313,16289867,740868,602494,no data,no data
Rachel Getting Married,2008,4141127,16937968,12796841,2332314,841696,967117,no data
Miss Pettigrew Lives for a Day,2008,4411239,16724933,12313694,2533437,no data,1877802,no data
Two Lovers,2008,13154609,16303643,3149034,11487645,1460320,206644,no data
Shine a Light,2008,10268084,15773351,5505267,6911887,368146,2988051,no data
The Haunting of Molly Hartley,2008,1858937,15418749,13559812,152596,683882,1022459,no data
Elegy,2008,11312705,14894347,3581642,8460454,1109954,1742297,no data
Religulous,2008,627955,13639115,13011160,576895,37049,14011,no data
Brideshead Revisited,2008,7018930,13451186,6432256,5564729,115667,1338534,no data
The Pirates Who Don't Do Anything: A VeggieTales Movie,2008,266456,13247725,12981269,262159,4297,no data,no data
Bhootnath,2008,12760785,13236817,476032,482008,no data,11226744,no data
Paris 36,2008,12089082,12940622,851540,11509581,312904,266597,no data
Cherry Blossoms,2008,12757069,12861658,104589,12155667,368690,232712,no data
Soul Men,2008,249246,12331637,12082391,239615,no data,9631,no data
Smart People,2008,2332315,11843604,9511289,641627,106943,1583267,no data
The Longshots,2008,230820,11767866,11537046,230820,no data,no data,no data
Watch Out Ladies,2008,10684264,11386430,702166,669510,no data,10014754,no data
Quiet Chaos,2008,11314687,11326121,11434,11213533,55275,45879,no data
Tashan,2008,10825957,11283337,457380,1065929,no data,9760028,no data
Il Divo,2008,11020207,11260366,240159,10989451,19309,11447,no data
Let the Right One In,2008,9105271,11227336,2122065,7811643,495979,774975,no data
Stop-Loss,2008,297209,11212953,10915744,162223,no data,134986,no data
Waltz with Bashir,2008,8895523,11179372,2283849,8411619,233507,250397,no data
Rudo y Cursi,2008,9341572,11169232,1827660,504089,8831511,5972,no data
Kismat Konnection,2008,10529300,11019454,490154,625114,no data,8446277,no data
U Me Aur Hum,2008,9919828,10948019,1028191,867578,no data,8439974,no data
Son of Rambow,2008,9085944,10871449,1785505,8820489,no data,265455,no data
Flame & Citron,2008,10037995,10186084,148089,9906782,51081,80132,no data
Punisher: War Zone,2008,2110516,10161493,8050977,1093105,70203,947208,no data
Let's Talk About the Rain,2008,10022522,10134366,111844,9815151,207371,no data,no data
The Express,2008,14718,9808124,9793406,14718,no data,no data,no data
Mid-August Lunch,2008,8845634,9520933,675299,8361361,371464,112809,no data
Miracle at St. Anna,2008,1414537,9333654,7919117,1394895,19642,no data,no data
Seraphine,2008,8444763,9329376,884613,8000582,168596,275585,no data
Ong Bak 2,2008,8834205,8936663,102458,3564486,no data,5268346,no data
Cadillac Records,2008,688093,8883644,8195551,191979,no data,496114,no data
The Rocker,2008,2399407,8808935,6409528,1450879,590415,358113,no data
Dolphins and Whales 3D: Tribes of the Ocean,2008,1093663,8808659,7714996,no data,no data,589427,no data
Big Stan,2008,8742330,8742330,0,2594688,2283386,3864256,no data
How She Move,2008,1588571,8659212,7070641,897985,no data,690586,no data
Fashion,2008,8467271,8658713,191442,61237,no data,8406034,no data
Then She Found Me,2008,4708281,8443998,3735717,2273352,564823,1870106,no data
Death Defying Acts,2008,8388974,8394639,5665,5065422,1399401,1924151,no data
My Mom's New Boyfriend,2008,7963718,7963718,0,3097161,2742470,2102666,21421
Funny Games,2008,6643953,7938872,1294919,5762075,580438,301440,no data
Summer Hours,2008,6178856,7835857,1657001,5056946,361154,760756,no data
The Children of Huang Shi,2008,6753445,7785317,1031872,2289023,181551,2640261,1627665
Expelled: No Intelligence Allowed,2008,0,7720487,7720487,no data,no data,no data,no data
Thoda Pyaar Thoda Magic,2008,7265611,7631012,365401,707575,no data,6558036,no data
Kidnap,2008,7601003,7601003,0,626761,no data,5688121,no data
The Girl from Monaco,2008,6950168,7553160,602992,6573367,69856,306945,no data
Nothing Like the Holidays,2008,15754,7519490,7503736,no data,no data,15754,no data
Mere Baap Pehle Aap,2008,7319847,7433423,113576,545254,no data,6774593,no data
Lemon Tree,2008,6817816,7387488,569672,5967778,505074,344964,no data
A Christmas Tale,2008,6295471,7356393,1060922,6136132,150263,9076,no data
Krazzy 4,2008,6786866,7274081,487215,280718,no data,6506148,no data
The Life Before Her Eyes,2008,6945051,7248490,303439,1261649,no data,158416,no data
Young@Heart,2008,3104813,7097002,3992189,1696219,2180,1406414,no data
Outlander,2008,6868695,7034698,166003,5331717,700694,836284,no data
An American Carol,2008,0,7013191,7013191,no data,no data,no data,no data
Strange Wilderness,2008,389452,6964734,6575282,79893,no data,309559,no data
North Face,2008,6103635,6815056,711421,5903834,no data,199801,no data
What Just Happened,2008,5619941,6710888,1090947,4200923,no data,1373616,no data
College,2008,1570847,6265483,4694636,no data,686120,884727,no data
One Two Three,2008,5815843,6090432,274589,237857,no data,5577986,no data
Transsiberian,2008,3720005,5926410,2206405,3509321,198088,12596,no data
Passengers,2008,5494715,5787152,292437,3149528,925050,1420137,no data
The Burning Plain,2008,5441748,5642478,200730,4485485,937047,19216,no data
The Legend of Drona,2008,5001300,5476404,475104,292589,no data,3694210,no data
Frozen River,2008,2946188,5457664,2511476,2670360,206607,69221,no data
Virgin Territory,2008,5410749,5410749,0,2828020,no data,2582729,no data
Diary of the Dead,2008,4405897,5364858,958961,2482534,499329,1247951,no data
Man on Wire,2008,2296327,5258569,2962242,1816854,15668,463805,no data
Charlie Bartlett,2008,1303287,5254986,3951699,811495,134229,357563,no data
Prince,2008,4597862,5167952,570090,344066,no data,4253796,no data
Lorna's Silence,2008,4784881,5123676,338795,4520973,215484,48424,no data
Hamlet 2,2008,39072,4925288,4886216,39072,no data,no data,no data
Cloud 9,2008,4772788,4864463,91675,4700451,64940,7397,no data
God You Are Great,2008,4643882,4807638,163756,225051,no data,4418831,no data
Flash of Genius,2008,360576,4802953,4442377,359634,no data,942,no data
Bottle Shock,2008,549946,4628553,4078607,81231,no data,468715,no data
"Synecdoche, New York",2008,1387786,4471324,3083538,992813,203013,191960,no data
Heroes,2008,3574237,4229775,655538,356525,no data,3216482,no data
Witless Protection,2008,0,4161625,4161625,no data,no data,no data,no data
Eden Lake,2008,3976676,3983997,7321,2224059,808099,944518,no data
Choke,2008,1055894,3982459,2926565,638250,3396,414228,no data
The Fall,2008,1402560,3669465,2266905,481913,no data,920647,no data
The Midnight Meat Train,2008,3450952,3534313,83361,1116147,no data,2334805,no data
Still Walking,2008,3344073,3511120,167047,1684754,44726,1614593,no data
Everlasting Moments,2008,2723929,3334754,610825,2675575,no data,no data,no data
"Patrik, Age 1.5",2008,3201600,3259068,57468,3194238,no data,7362,no data
Pathology,2008,3124860,3234706,109846,1843679,no data,1281181,no data
Chocolate,2008,3164169,3179014,14845,no data,no data,3164169,no data
The Wackness,2008,1098353,3175469,2077116,903325,no data,195028,no data
Killshot,2008,2943004,2961647,18643,901438,640907,1400659,no data
Married Life,2008,1380325,2888315,1507990,909145,no data,471180,no data
"Moscow, Belgium",2008,2842635,2842635,0,2784344,58291,no data,no data
Terribly Happy,2008,2658041,2828984,170943,2658041,no data,no data,no data
Every Little Step,2008,1044622,2769763,1725141,15008,no data,1029614,no data
Hunger,2008,2570390,2724474,154084,2282649,no data,241680,no data
Redbelt,2008,328149,2674090,2345941,218192,86549,15785,no data
The Nightmare Before Christmas,2008,1469370,2578558,1109188,653780,783240,32350,no data
JCVD,2008,1871520,2342211,470691,1822970,no data,48550,no data
Teeth,2008,1992532,2340110,347578,1740514,no data,252018,no data
Disgrace,2008,2221975,2291680,69705,1186310,2316,1033349,no data
The Beaches of Agnès,2008,1985719,2225430,239711,1916030,69689,no data,no data
Home,2008,2170791,2186716,15925,1191771,no data,no data,no data
The Black Balloon,2008,2136663,2136663,0,30284,no data,2106379,no data
Mutant Chronicles,2008,2124237,2131057,6820,569989,503357,1050891,no data
Roadside Romeo,2008,1922819,1978021,55202,308473,218223,1395205,no data
Ashes of Time,2008,1802925,1977198,174273,249014,62684,321961,1169266
Oye Lucky! Lucky Oye!,2008,1896831,1976868,80037,31008,no data,1865823,no data
Henry Poole Is Here,2008,87285,1923800,1836515,67033,no data,20252,no data
Smother,2008,1851790,1851790,0,572776,1004978,274036,no data
A Woman in Berlin,2008,1553308,1847322,294014,1536691,no data,no data,no data
Che: Part One/Che: Part Two,2008,281178,1778287,1497109,44755,236423,no data,no data
The Polar Express,2008,0,1705694,1705694,no data,no data,no data,no data
A Thousand Years of Good Prayers,2008,1588779,1665585,76806,1560031,25588,3160,no data
Talento de barrio,2008,1581656,1650198,68542,no data,1581656,no data,no data
The Hottie & the Nottie,2008,1568536,1596232,27696,338668,no data,1229868,no data
"Mèche Blanche, les aventures du petit castor",2008,1230634,1591520,360886,583488,no data,641411,no data
Good,2008,1524748,1552024,27276,1278883,202903,42962,no data
Gonzo,2008,239858,1491958,1252100,185597,no data,54261,no data
Ek Vivaah... Aisa Bhi,2008,1450449,1456886,6437,11366,no data,662919,no data
Food Beware: The French Organic Revolution,2008,1428454,1429635,1181,1428454,no data,no data,no data
Bonneville,2008,850177,1338570,488393,554957,87830,207390,no data
Julia,2008,1268133,1333241,65108,1268133,no data,no data,no data
Before the Rains,2008,287067,1316722,1029655,190053,7473,89541,no data
"War, Inc.",2008,715322,1296184,580862,19983,no data,695339,no data
In Search of a Midnight Kiss,2008,1121571,1294176,172605,1108578,no data,12993,no data
Encounters at the End of the World,2008,260531,1205464,944933,260531,no data,no data,no data
Mumbai Meri Jaan,2008,1186636,1203043,16407,no data,no data,1186636,no data
Boy A,2008,1088713,1202375,113662,968268,no data,120445,no data
Wendy and Lucy,2008,326960,1192655,865695,307884,no data,18735,no data
Tokyo!,2008,838803,1189862,351059,513678,no data,320590,no data
House,2008,565970,1141018,575048,246733,no data,319237,no data
American Teen,2008,187829,1130270,942441,34434,no data,153395,no data
Flashbacks of a Fool,2008,1115605,1117269,1664,946351,92504,76750,no data
Surveillance,2008,1088144,1115493,27349,974522,110048,no data,no data
Up the Yangtze,2008,245242,1029211,783969,no data,no data,245242,no data
La Bohème,2008,972433,1026897,54464,957383,no data,15050,no data
Tokyo Sonata,2008,662074,940430,278356,590385,no data,71689,no data
Battle in Seattle,2008,684678,908847,224169,672523,no data,12155,no data
Go Go Tales,2008,907456,907456,0,866474,no data,40982,no data
Revanche,2008,628019,886407,258388,590303,no data,37716,no data
Emma Smith: My Story,2008,0,881787,881787,no data,no data,no data,no data
Fugitive Pieces,2008,208162,843945,635783,70094,96217,41851,no data
I.O.U.S.A.,2008,5753,826799,821046,299,no data,5454,no data
Leonera,2008,807765,822504,14739,281852,525913,no data,no data
Blonde and Blonder,2008,737090,779273,42183,88513,102424,546153,no data
Forever Strong,2008,0,719556,719556,no data,no data,no data,no data
Free Style,2008,575247,716355,141108,no data,575247,no data,no data
$9.99,2008,655970,708354,52384,617309,no data,38661,no data
Delgo,2008,0,694782,694782,no data,no data,no data,no data
Donkey Punch,2008,675055,694422,19367,675055,no data,no data,no data
Tony Manero,2008,666729,687406,20677,284641,382074,no data,no data
Towelhead,2008,303538,675662,372124,202497,no data,101041,no data
Anamorph,2008,667889,674839,6950,471278,196611,no data,no data
Beer for My Horses,2008,0,666045,666045,no data,no data,no data,no data
Where in the World Is Osama Bin Laden?,2008,266823,651778,384955,147468,no data,89408,no data
Mera Pind: My Home,2008,453394,630370,176976,330056,no data,123338,no data
Wild West Comedy Show: 30 Days & 30 Nights - Hollywood to the Heartland,2008,0,603894,603894,no data,no data,no data,no data
My Father My Lord,2008,367858,571566,203708,367858,no data,no data,no data
The Wedding Song,2008,527329,558489,31160,453396,73933,no data,no data
Timecrimes,2008,514071,553198,39127,389919,124152,no data,no data
Nobel Son,2008,5200,545582,540382,no data,no data,no data,no data
Noah's Arc: Jumping the Broom,2008,0,532878,532878,no data,no data,no data,no data
Everybody Wants to Be Italian,2008,181310,532726,351416,181310,no data,no data,no data
Of Time and the City,2008,490740,523417,32677,464763,no data,25977,no data
Trouble the Water,2008,2615,522766,520151,2615,no data,no data,no data
Splinter,2008,496204,510358,14154,231001,206892,58311,no data
The 2007 Academy Award Nominated Short Films: Live Action,2008,0,508695,508695,no data,no data,no data,no data
The Other End of the Line,2008,391942,507534,115592,145848,65088,181006,no data
The Stone Angel,2008,14827,473993,459166,14827,no data,no data,no data
The Broken Line,2008,0,466309,466309,no data,no data,no data,no data
The Promotion,2008,48981,457690,408709,33660,no data,15321,no data
Fear(s) of the Dark,2008,372937,450813,77876,328731,no data,44206,no data
The Hammer,2008,0,443591,443591,no data,no data,no data,no data
Santa vs. the Snowman 3D,2008,4588,438385,433797,no data,no data,4588,no data
Snow Angels,2008,11546,414404,402858,11546,no data,no data,no data
Mister Lonely,2008,240278,407674,167396,41944,20759,177575,no data
The Signal,2008,150312,401462,251150,104266,no data,no data,no data
While She Was Out,2008,391410,391410,0,23422,267775,100213,no data
Hell Ride,2008,176520,390128,213608,no data,no data,176520,no data
The Escapist,2008,374735,388174,13439,330033,no data,44702,no data
Everything Is Fine,2008,36791,373360,336569,35981,no data,no data,no data
Filth and Wisdom,2008,332222,354628,22406,332222,no data,no data,no data
Billy: The Early Years,2008,0,347328,347328,no data,no data,no data,no data
Meet Bill,2008,283995,346592,62597,97619,128241,58135,no data
Standard Operating Procedure,2008,95100,324217,229117,39364,15432,40304,no data
Bigger Stronger Faster*,2008,0,308575,308575,no data,no data,no data,no data
The Headless Woman,2008,205589,305766,100177,75951,129638,no data,no data
Planet B-Boy,2008,26577,300447,273870,no data,no data,26577,no data
Taxi to the Dark Side,2008,19648,294309,274661,15892,3756,no data,no data
Surfwise,2008,24242,294236,269994,no data,no data,no data,no data
Chaos Theory,2008,48982,289458,240476,no data,no data,no data,no data
The Lucky Ones,2008,20600,287567,266967,14620,no data,5980,no data
My Winnipeg,2008,126106,285469,159363,94832,no data,no data,no data
Lola Montès,2008,160008,280314,120306,137999,no data,no data,no data
Wonderful Town,2008,272746,277233,4487,269955,no data,no data,no data
Morning Light,2008,279,275776,275497,134,no data,145,no data
Harvard Beats Yale 29-29,2008,0,268431,268431,no data,no data,no data,no data
Shoot on Sight,2008,264617,264617,0,264617,no data,no data,no data
The Secrets,2008,141912,264006,122094,no data,141912,no data,no data
Beaufort,2008,153189,255780,102591,148945,no data,4244,no data
The 13th Alley,2008,0,250992,250992,no data,no data,no data,no data
Enlighten Up!,2008,0,246649,246649,no data,no data,no data,no data
The Foot Fist Way,2008,11006,245292,234286,11006,no data,no data,no data
The Legend of God's Gun,2008,0,243768,243768,no data,no data,no data,no data
CSNY/Déjà Vu,2008,167235,232260,65025,167235,no data,no data,no data
Miss Conception,2008,226794,228928,2134,95128,no data,no data,no data
Sixty Six,2008,0,224614,224614,no data,no data,no data,no data
Chop Shop,2008,97731,222776,125045,97731,no data,no data,no data
The Song of Sparrows,2008,103988,220360,116372,53472,no data,50516,no data
Chris & Don. A Love Story,2008,0,216110,216110,no data,no data,no data,no data
How the Garcia Girls Spent Their Summer,2008,0,215303,215303,no data,no data,no data,no data
Call + Response,2008,0,215185,215185,no data,no data,no data,no data
Stranded: I've Come from a Plane That Crashed on the Mountains,2008,121281,210754,89473,15021,106260,no data,no data
Sleepwalking,2008,38603,208995,170392,37715,no data,888,no data
La traviata,2008,0,195494,195494,no data,no data,no data,no data
One Day You'll Understand,2008,49724,195366,145642,38730,10994,no data,no data
The Princess of Nebraska,2008,191887,191887,0,183953,6214,1720,no data
Repo! The Genetic Opera,2008,41376,188126,146750,35437,no data,5939,no data
Bustin' Down the Door,2008,78400,187827,109427,no data,no data,78400,no data
Chapter 27,2008,131273,187488,56215,23830,107443,no data,no data
